city,competition,date,match-id,gender,match-number,match-referee,method,neutralvenue,outcome,player-of-match,reserve-umpire,season,series,team-0,team-1,toss-decision,toss-winner,tv-umpire,umpire-0,umpire-1,venue,winner,winner-runs,winner-wickets,year
Pianoro,ICC World Cricket League Division Four,2010/08/19,473029,male,,DT Jukes,,True,,SS Nadkarni,S Ketipe,2010,,Nepal,United States of America,bat,United States of America,,L Fourie,CA McElwee,Ovale di Rastignano,United States of America,55.0,,2010
Wellington,,2011/01/22,473923,male,1.0,AG Hurst,,,,TG Southee,PD Jones,2010/11,Pakistan in New Zealand ODI Series,New Zealand,Pakistan,bat,Pakistan,BG Frost,CB Gaffaney,AM Saheba,Westpac Stadium,New Zealand,,9.0,2011
Christchurch,,2011/01/29,473925,male,3.0,AG Hurst,,,,Mohammad Hafeez,AL Hill,2010/11,Pakistan in New Zealand ODI Series,New Zealand,Pakistan,field,New Zealand,BG Frost,GAV Baxter,AM Saheba,AMI Stadium,Pakistan,43.0,,2011
Napier,,2011/02/01,473926,male,4.0,AG Hurst,,,,Misbah-ul-Haq,CB Gaffaney,2010/11,Pakistan in New Zealand ODI Series,New Zealand,Pakistan,bat,New Zealand,BG Frost,GAV Baxter,SJ Davis,McLean Park,Pakistan,,2.0,2011
Hamilton,,2011/02/03,473927,male,5.0,AG Hurst,,,,Ahmed Shehzad,BF Bowden,2010/11,Pakistan in New Zealand ODI Series,New Zealand,Pakistan,field,New Zealand,CB Gaffaney,SJ Davis,AL Hill,Seddon Park,Pakistan,41.0,,2011
Auckland,,2011/02/05,473928,male,6.0,AG Hurst,,,,JD Ryder,WR Knights,2010/11,Pakistan in New Zealand ODI Series,New Zealand,Pakistan,field,Pakistan,BF Bowden,SJ Davis,AL Hill,Eden Park,New Zealand,57.0,,2011
London,,2011/06/28,474467,male,1.0,AG Hurst,D/L,,,JM Anderson,NJ Llong,2011,NatWest Series,England,Sri Lanka,field,Sri Lanka,RJ Bailey,BF Bowden,RK Illingworth,Kennington Oval,England,110.0,,2011
Leeds,,2011/07/01,474468,male,2.0,AG Hurst,,,,DPMD Jayawardene,RJ Bailey,2011,NatWest Series,England,Sri Lanka,field,England,NJ Llong,BF Bowden,RA Kettleborough,Headingley,Sri Lanka,69.0,,2011
London,,2011/07/03,474469,male,3.0,AG Hurst,,,,LD Chandimal,JW Lloyds,2011,NatWest Series,England,Sri Lanka,bat,England,RK Illingworth,BF Bowden,NJ Llong,Lord's,Sri Lanka,,6.0,2011
Nottingham,,2011/07/06,474470,male,4.0,AG Hurst,D/L,,,AN Cook,RJ Bailey,2011,NatWest Series,England,Sri Lanka,field,England,NJ Llong,BF Bowden,RK Illingworth,Trent Bridge,England,,10.0,2011
Manchester,,2011/07/09,474471,male,5.0,AG Hurst,,,,IJL Trott,RK Illingworth,2011,NatWest Series,England,Sri Lanka,bat,England,RJ Bailey,BF Bowden,NJ Llong,Old Trafford,England,16.0,,2011
Southampton,,2011/09/06,474478,male,2.0,JJ Crowe,,,,AN Cook,RK Illingworth,2011,NatWest Series,England,India,field,England,M Erasmus,RJ Bailey,BR Doctrove,The Rose Bowl,England,,7.0,2011
London,,2011/09/09,474479,male,3.0,JJ Crowe,D/L,,,RA Jadeja,RJ Bailey,2011,NatWest Series,England,India,field,England,BR Doctrove,M Erasmus,NJ Llong,Kennington Oval,England,,3.0,2011
London,,2011/09/11,474480,male,4.0,JJ Crowe,D/L,,tie,SK Raina,NJ Llong,2011,NatWest Series,England,India,field,England,BR Doctrove,M Erasmus,RK Illingworth,Lord's,,,,2011
Cardiff,,2011/09/16,474481,male,5.0,JJ Crowe,D/L,,,JM Bairstow,RK Illingworth,2011,NatWest Series,England,India,field,England,M Erasmus,BR Doctrove,NJ Llong,Sophia Gardens,England,,6.0,2011
Mirpur,,2010/10/05,476596,male,1.0,J Srinath,D/L,,,Shakib Al Hasan,Masudur Rahman,2010/11,New Zealand in Bangladesh ODI Series,Bangladesh,New Zealand,bat,Bangladesh,Sharfuddoula,Enamul Haque,SK Tarapore,Shere Bangla National Stadium,Bangladesh,9.0,,2010
Mirpur,,2010/10/11,476598,male,3.0,J Srinath,,,,Suhrawadi Shuvo,Gazi Sohel,2010/11,New Zealand in Bangladesh ODI Series,Bangladesh,New Zealand,field,Bangladesh,Sharfuddoula,Aleem Dar,Nadir Shah,Shere Bangla National Stadium,Bangladesh,,7.0,2010
Mirpur,,2010/10/14,476599,male,4.0,J Srinath,,,,Shakib Al Hasan,Anisur Rahman,2010/11,New Zealand in Bangladesh ODI Series,Bangladesh,New Zealand,field,New Zealand,Nadir Shah,Aleem Dar,Sharfuddoula,Shere Bangla National Stadium,Bangladesh,9.0,,2010
Mirpur,,2010/10/17,476600,male,5.0,J Srinath,,,,Rubel Hossain,Mahabubur Rahman,2010/11,New Zealand in Bangladesh ODI Series,Bangladesh,New Zealand,bat,Bangladesh,Sharfuddoula,Aleem Dar,Nadir Shah,Shere Bangla National Stadium,Bangladesh,3.0,,2010
Dublin,,2011/08/25,483126,male,,DT Jukes,D/L,,,EJG Morgan,J Andrews,2011,,Ireland,England,field,Ireland,RJ Bailey,SJ Davis,M Hawthorne,Clontarf Cricket Club Ground,England,11.0,,2011
Mirpur,,2010/12/01,486520,male,1.0,BC Broad,,,,CB Mpofu,Masudur Rahman,2010/11,Zimbabwe in Bangladesh ODI Series,Bangladesh,Zimbabwe,field,Bangladesh,Sharfuddoula,EAR de Silva,Enamul Haque,Shere Bangla National Stadium,Zimbabwe,9.0,,2010
Mirpur,,2010/12/03,486522,male,2.0,BC Broad,,,,Abdur Razzak,Tanvir Ahmed,2010/11,Zimbabwe in Bangladesh ODI Series,Bangladesh,Zimbabwe,field,Bangladesh,Sharfuddoula,EAR de Silva,Enamul Haque,Shere Bangla National Stadium,Bangladesh,,6.0,2010
Mirpur,,2010/12/06,486523,male,3.0,BC Broad,,,,Abdur Razzak,Mahfuzur Rahman,2010/11,Zimbabwe in Bangladesh ODI Series,Bangladesh,Zimbabwe,field,Zimbabwe,Nadir Shah,EAR de Silva,Sharfuddoula,Shere Bangla National Stadium,Bangladesh,65.0,,2010
