city,competition,date,match-id,gender,match-number,match-referee,method,neutralvenue,outcome,player-of-match,reserve-umpire,season,series,team-0,team-1,toss-decision,toss-winner,tv-umpire,umpire-0,umpire-1,venue,winner,winner-runs,winner-wickets,year
Belfast,,2006/06/13,225171,male,,CH Lloyd,,,,ME Trescothick,,2006,,Ireland,England,bat,England,,R Dill,DB Hair,Civil Service Cricket Club,England,38.0,,2006
London,,2006/09/02,225246,male,2.0,MJ Procter,D/L,,,Shoaib Akhtar,IJ Gould,2006,NatWest Series,England,Pakistan,field,Pakistan,NJ Llong,MR Benson,BR Doctrove,Lord's,Pakistan,,7.0,2006
Southampton,,2006/09/05,225247,male,3.0,MJ Procter,,,,Younis Khan,IJ Gould,2006,NatWest Series,England,Pakistan,field,Pakistan,PJ Hartley,BR Doctrove,NJ Llong,The Rose Bowl,Pakistan,,2.0,2006
Nottingham,,2006/09/08,225248,male,4.0,MJ Procter,,,,IR Bell,NJ Llong,2006,NatWest Series,England,Pakistan,bat,Pakistan,IJ Gould,MR Benson,DJ Harper,Trent Bridge,England,,8.0,2006
Birmingham,,2006/09/10,225249,male,5.0,MJ Procter,,,,SI Mahmood,PJ Hartley,2006,NatWest Series,England,Pakistan,field,England,NJ Llong,IJ Gould,DJ Harper,Edgbaston,England,,3.0,2006
London,,2006/06/17,225250,male,1.0,CH Lloyd,,,,WU Tharanga,,2006,NatWest Series,England,Sri Lanka,field,England,IJ Gould,DB Hair,NJ Llong,Lord's,Sri Lanka,20.0,,2006
London,,2006/06/20,225251,male,2.0,CH Lloyd,,,,ST Jayasuriya,,2006,NatWest Series,England,Sri Lanka,bat,Sri Lanka,PJ Hartley,IJ Gould,DB Hair,Kennington Oval,Sri Lanka,46.0,,2006
Chester-le-Street,,2006/06/24,225252,male,3.0,CH Lloyd,,,,DPMD Jayawardene,,2006,NatWest Series,England,Sri Lanka,bat,England,NJ Llong,MR Benson,BR Doctrove,Riverside Ground,Sri Lanka,,8.0,2006
Manchester,,2006/06/28,225253,male,4.0,CH Lloyd,,,,DPMD Jayawardene,,2006,NatWest Series,England,Sri Lanka,bat,Sri Lanka,MR Benson,BR Doctrove,NJ Llong,Old Trafford,Sri Lanka,33.0,,2006
Leeds,,2006/07/01,225254,male,5.0,CH Lloyd,,,,ST Jayasuriya,,2006,NatWest Series,England,Sri Lanka,bat,England,IJ Gould,MR Benson,BR Doctrove,Headingley,Sri Lanka,,8.0,2006
Brisbane,,2006/01/15,226375,male,2.0,JJ Crowe,,,,SM Pollock,,2005/06,VB Series,Australia,South Africa,bat,Australia,DJ Harper,Aleem Dar,SJA Taufel,Brisbane Cricket Ground,South Africa,,5.0,2006
Melbourne,,2006/01/20,226376,male,4.0,JJ Crowe,,,,B Lee,,2005/06,VB Series,Australia,South Africa,bat,Australia,PD Parker,MR Benson,DJ Harper,Docklands Stadium,Australia,59.0,,2006
Melbourne,,2006/02/03,226377,male,10.0,JJ Crowe,,,,MEK Hussey,,2005/06,VB Series,Australia,South Africa,bat,Australia,RL Parry,Aleem Dar,PD Parker,Docklands Stadium,Australia,80.0,,2006
,,2006/02/05,226378,male,11.0,JJ Crowe,,,,AC Gilchrist,,2005/06,VB Series,Australia,South Africa,bat,Australia,RL Parry,Aleem Dar,PD Parker,Sydney Cricket Ground,Australia,57.0,,2006
,,2006/01/22,226380,male,5.0,JJ Crowe,,,,ST Jayasuriya,,2005/06,VB Series,Australia,Sri Lanka,bat,Sri Lanka,RL Parry,MR Benson,SJ Davis,Sydney Cricket Ground,Sri Lanka,51.0,,2006
,,2006/01/26,226381,male,7.0,JJ Crowe,,,,A Symonds,,2005/06,VB Series,Australia,Sri Lanka,bat,Sri Lanka,RL Parry,Aleem Dar,SJ Davis,Adelaide Oval,Australia,,5.0,2006
Perth,,2006/01/29,226382,male,8.0,JJ Crowe,,,,AC Gilchrist,,2005/06,VB Series,Australia,Sri Lanka,bat,Sri Lanka,RL Parry,MR Benson,PD Parker,Western Australia Cricket Association Ground,Australia,,6.0,2006
Brisbane,,2006/01/17,226383,male,3.0,JJ Crowe,,True,,KC Sangakkara,,2005/06,VB Series,South Africa,Sri Lanka,field,South Africa,PD Parker,Aleem Dar,DJ Harper,Brisbane Cricket Ground,Sri Lanka,94.0,,2006
,,2006/01/24,226384,male,6.0,JJ Crowe,,True,,HH Dippenaar,,2005/06,VB Series,South Africa,Sri Lanka,bat,South Africa,SJ Davis,Aleem Dar,DJ Harper,Adelaide Oval,South Africa,9.0,,2006
Perth,,2006/01/31,226385,male,9.0,JJ Crowe,,True,,GC Smith,,2005/06,VB Series,South Africa,Sri Lanka,bat,Sri Lanka,RL Parry,MR Benson,PD Parker,Western Australia Cricket Association Ground,South Africa,,5.0,2006
Hobart,,2006/02/07,226386,male,12.0,JJ Crowe,,True,,HMCM Bandara,,2005/06,VB Series,South Africa,Sri Lanka,bat,Sri Lanka,RL Parry,MR Benson,DJ Harper,Bellerive Oval,Sri Lanka,76.0,,2006
Christchurch,,2006/01/03,226391,male,2.0,AG Hurst,,,,WU Tharanga,,2005/06,Sri Lanka in New Zealand ODI Series,New Zealand,Sri Lanka,field,New Zealand,AL Hill,GAV Baxter,DB Hair,Jade Stadium,New Zealand,,5.0,2006
Wellington,,2006/01/06,226392,male,3.0,AG Hurst,,,,JS Patel,,2005/06,Sri Lanka in New Zealand ODI Series,New Zealand,Sri Lanka,bat,New Zealand,EA Watkin,DB Hair,AL Hill,Westpac Stadium,New Zealand,21.0,,2006
Peshawar,,2006/02/06,235831,male,1.0,BC Broad,D/L,,,Salman Butt,,2005/06,India in Pakistan ODI Series,Pakistan,India,field,Pakistan,Zameer Haider,Asad Rauf,SJA Taufel,Arbab Niaz Stadium,Pakistan,7.0,,2006
,,2006/02/10,236358,male,1.0,JJ Crowe,,,,KC Sangakkara,,2005/06,VB Series,Australia,Sri Lanka,bat,Sri Lanka,RL Parry,Aleem Dar,DJ Harper,Adelaide Oval,Sri Lanka,22.0,,2006
,,2006/02/11,236520,male,2.0,BC Broad,,,,IK Pathan,,2005/06,India in Pakistan ODI Series,Pakistan,India,bat,Pakistan,Zameer Haider,Asad Rauf,SJA Taufel,Rawalpindi Cricket Stadium,India,,7.0,2006
,,2006/02/12,236595,male,2.0,JJ Crowe,,,,A Symonds,,2005/06,VB Series,Australia,Sri Lanka,bat,Australia,DJ Harper,MR Benson,PD Parker,Sydney Cricket Ground,Australia,167.0,,2006
Lahore,,2006/02/13,236809,male,3.0,BC Broad,,,,MS Dhoni,,2005/06,India in Pakistan ODI Series,Pakistan,India,field,India,Zameer Haider,Asad Rauf,SJA Taufel,Gaddafi Stadium,India,,5.0,2006
Brisbane,,2006/02/14,236963,male,3.0,JJ Crowe,,,,AC Gilchrist,,2005/06,VB Series,Australia,Sri Lanka,bat,Sri Lanka,PD Parker,Aleem Dar,DJ Harper,Brisbane Cricket Ground,Australia,,9.0,2006
,,2006/02/16,237222,male,4.0,BC Broad,,,,RP Singh,,2005/06,India in Pakistan ODI Series,Pakistan,India,field,India,Zameer Haider,Asad Rauf,SA Bucknor,Multan Cricket Stadium,India,,5.0,2006
Wellington,,2006/02/18,237568,male,1.0,MJ Procter,,,,NJ Astle,,2005/06,West Indies in New Zealand ODI Series,New Zealand,West Indies,bat,New Zealand,EA Watkin,AL Hill,RE Koertzen,Westpac Stadium,New Zealand,81.0,,2006
Karachi,,2006/02/19,237571,male,5.0,BC Broad,,,,Yuvraj Singh,,2005/06,India in Pakistan ODI Series,Pakistan,India,field,India,Asad Rauf,Aleem Dar,SA Bucknor,National Stadium,India,,8.0,2006
Bogra,,2006/02/20,237574,male,1.0,AG Hurst,,,,PDRL Perera,,2005/06,Sri Lanka in Bangladesh ODI Series,Bangladesh,Sri Lanka,bat,Bangladesh,Nadir Shah,K Hariharan,Mahbubur Rahman,Shaheed Chandu Stadium,Sri Lanka,,5.0,2006
Bogra,,2006/02/22,238169,male,2.0,AG Hurst,,,,Aftab Ahmed,,2005/06,Sri Lanka in Bangladesh ODI Series,Bangladesh,Sri Lanka,field,Bangladesh,Nadir Shah,K Hariharan,Mahbubur Rahman,Shaheed Chandu Stadium,Bangladesh,,4.0,2006
,,2006/02/25,238170,male,3.0,CH Lloyd,,,,KC Sangakkara,,2005/06,Sri Lanka in Bangladesh ODI Series,Bangladesh,Sri Lanka,field,Bangladesh,Nadir Shah,AFM Akhtaruddin,K Hariharan,Chittagong Divisional Stadium,Sri Lanka,78.0,,2006
,,2006/04/23,238173,male,1.0,JJ Crowe,,,,AC Gilchrist,,2005/06,Australia in Bangladesh ODI Series,Bangladesh,Australia,bat,Bangladesh,Nadir Shah,IL Howell,Mahbubur Rahman,Chittagong Divisional Stadium,Australia,,4.0,2006
Fatullah,,2006/04/26,238174,male,2.0,JJ Crowe,,,,A Symonds,,2005/06,Australia in Bangladesh ODI Series,Bangladesh,Australia,bat,Australia,Nadir Shah,AFM Akhtaruddin,IL Howell,Narayanganj Osmani Stadium,Australia,67.0,,2006
Fatullah,,2006/04/28,238175,male,3.0,JJ Crowe,,,,MJ Cosgrove,,2005/06,Australia in Bangladesh ODI Series,Bangladesh,Australia,bat,Bangladesh,AFM Akhtaruddin,IL Howell,Nadir Shah,Narayanganj Osmani Stadium,Australia,,9.0,2006
,,2006/02/22,238176,male,2.0,MJ Procter,,,,DL Vettori,,2005/06,West Indies in New Zealand ODI Series,New Zealand,West Indies,field,New Zealand,AL Hill,BF Bowden,RE Koertzen,Queenstown Events Centre,New Zealand,,3.0,2006
Christchurch,,2006/02/25,238177,male,3.0,MJ Procter,,,,NJ Astle,,2005/06,West Indies in New Zealand ODI Series,New Zealand,West Indies,bat,New Zealand,GAV Baxter,BF Bowden,RE Koertzen,Jade Stadium,New Zealand,21.0,,2006
Napier,,2006/03/01,238178,male,4.0,MJ Procter,,,,L Vincent,,2005/06,West Indies in New Zealand ODI Series,New Zealand,West Indies,field,West Indies,EA Watkin,BF Bowden,RE Koertzen,McLean Park,New Zealand,91.0,,2006
Auckland,,2006/03/04,238179,male,5.0,MJ Procter,,,,DR Smith,,2005/06,West Indies in New Zealand ODI Series,New Zealand,West Indies,bat,New Zealand,BF Bowden,DJ Harper,AL Hill,Eden Park,West Indies,,3.0,2006
Delhi,,2006/03/28,238188,male,1.0,RS Mahanama,,,,Harbhajan Singh,,2005/06,England in India ODI Series,India,England,field,England,K Hariharan,Asad Rauf,AV Jayaprakash,Feroz Shah Kotla,India,39.0,,2006
Faridabad,,2006/03/31,238189,male,2.0,RS Mahanama,,,,SK Raina,,2005/06,England in India ODI Series,India,England,bat,England,I Shivram,Asad Rauf,AV Jayaprakash,Nahar Singh Stadium,India,,4.0,2006
Margao,,2006/04/03,238190,male,3.0,RS Mahanama,,,,Yuvraj Singh,,2005/06,England in India ODI Series,India,England,bat,India,I Shivram,Asad Rauf,K Hariharan,Nehru Stadium,India,49.0,,2006
Jamshedpur,,2006/04/12,238193,male,6.0,RS Mahanama,,,,AJ Strauss,,2005/06,England in India ODI Series,India,England,bat,India,AV Jayaprakash,K Hariharan,RE Koertzen,Keenan Stadium,England,,5.0,2006
Indore,,2006/04/15,238194,male,7.0,RS Mahanama,,,,S Sreesanth,,2005/06,England in India ODI Series,India,England,field,India,I Shivram,AV Jayaprakash,RE Koertzen,Maharani Usharaje Trust Cricket Ground,India,,7.0,2006
Centurion,,2006/02/26,238196,male,1.0,BC Broad,D/L,,,GC Smith,,2005/06,Australia in South Africa ODI Series,South Africa,Australia,bat,Australia,KH Hurter,BG Jerling,JW Lloyds,SuperSport Park,South Africa,,6.0,2006
Cape Town,,2006/03/03,238197,male,2.0,BC Broad,,,,M Ntini,,2005/06,Australia in South Africa ODI Series,South Africa,Australia,bat,South Africa,BG Jerling,KH Hurter,JW Lloyds,Newlands,South Africa,196.0,,2006
Port Elizabeth,,2006/03/05,238198,male,3.0,BC Broad,,,,B Lee,,2005/06,Australia in South Africa ODI Series,South Africa,Australia,field,South Africa,KH Hurter,BG Jerling,JW Lloyds,St George's Park,Australia,24.0,,2006
Durban,,2006/03/10,238199,male,4.0,BC Broad,,,,HH Dippenaar,,2005/06,Australia in South Africa ODI Series,South Africa,Australia,bat,South Africa,BG Jerling,KH Hurter,JW Lloyds,Kingsmead,Australia,,1.0,2006
Johannesburg,,2006/03/12,238200,male,5.0,BC Broad,,,,RT Ponting,,2005/06,Australia in South Africa ODI Series,South Africa,Australia,bat,Australia,KH Hurter,Aleem Dar,BG Jerling,New Wanderers Stadium,South Africa,,1.0,2006
Colombo,,2006/03/19,238214,male,2.0,AG Hurst,,,,Abdul Razzaq,,2005/06,Pakistan in Sri Lanka ODI Series,Sri Lanka,Pakistan,field,Pakistan,PT Manuel,SJ Davis,TH Wijewardene,R Premadasa Stadium,Pakistan,,4.0,2006
Colombo,,2006/03/22,238215,male,3.0,AG Hurst,,,,Shahid Afridi,,2005/06,Pakistan in Sri Lanka ODI Series,Sri Lanka,Pakistan,field,Pakistan,PT Manuel,SJ Davis,EAR de Silva,Sinhalese Sports Club Ground,Pakistan,,4.0,2006
Antigua,,2006/04/29,239907,male,1.0,BC Broad,,,,JE Taylor,,2006,Zimbabwe in West Indies ODI Series,West Indies,Zimbabwe,field,West Indies,SA Bucknor,BF Bowden,BR Doctrove,Antigua Recreation Ground,West Indies,,5.0,2006
Antigua,,2006/04/30,239908,male,2.0,BC Broad,,,,JE Taylor,,2006,Zimbabwe in West Indies ODI Series,West Indies,Zimbabwe,bat,West Indies,BR Doctrove,BF Bowden,SA Bucknor,Antigua Recreation Ground,West Indies,98.0,,2006
St Lucia,,2006/05/10,239911,male,5.0,BC Broad,,,,CH Gayle,,2006,Zimbabwe in West Indies ODI Series,West Indies,Zimbabwe,bat,Zimbabwe,SA Bucknor,BF Bowden,BR Doctrove,Beausejour Stadium,West Indies,,10.0,2006
Trinidad,,2006/05/13,239912,male,6.0,BC Broad,,,no result,,,2006,Zimbabwe in West Indies ODI Series,West Indies,Zimbabwe,bat,West Indies,BR Doctrove,BF Bowden,SA Bucknor,Queen's Park Oval,,,,2006
Trinidad,,2006/05/14,239913,male,7.0,BC Broad,,,,RR Sarwan,,2006,Zimbabwe in West Indies ODI Series,West Indies,Zimbabwe,bat,West Indies,SA Bucknor,BF Bowden,BR Doctrove,Queen's Park Oval,West Indies,104.0,,2006
Jamaica,,2006/05/20,239916,male,2.0,BC Broad,,,,RR Sarwan,,2006,India in West Indies ODI Series,West Indies,India,field,India,NA Malcolm,Asad Rauf,BR Doctrove,Sabina Park,West Indies,1.0,,2006
St Kitts,,2006/05/23,239917,male,3.0,BC Broad,,,,RR Sarwan,,2006,India in West Indies ODI Series,West Indies,India,bat,India,BR Doctrove,Asad Rauf,SA Bucknor,Warner Park,West Indies,,4.0,2006
Trinidad,,2006/05/26,239918,male,4.0,BC Broad,,,,DJ Bravo,,2006,India in West Indies ODI Series,West Indies,India,field,West Indies,SA Bucknor,BR Doctrove,SJA Taufel,Queen's Park Oval,West Indies,,6.0,2006
Trinidad,,2006/05/28,239919,male,5.0,BC Broad,,,,DJ Bravo,,2006,India in West Indies ODI Series,West Indies,India,field,India,BR Doctrove,SA Bucknor,SJA Taufel,Queen's Park Oval,West Indies,19.0,,2006
Abu Dhabi,DLF Cup,2006/04/18,244510,male,1.0,RS Mahanama,,True,,Younis Khan,,2005/06,,India,Pakistan,bat,India,TH Wijewardene,BG Jerling,RE Koertzen,Sheikh Zayed Stadium,Pakistan,,6.0,2006
Abu Dhabi,DLF Cup,2006/04/19,244511,male,2.0,RS Mahanama,,True,,R Dravid,,2005/06,,India,Pakistan,bat,India,TH Wijewardene,BG Jerling,RE Koertzen,Sheikh Zayed Stadium,India,51.0,,2006
Jamaica,ICC World Cup,2007/03/13,247457,male,1.0,BC Broad,,,,DR Smith,IJ Gould,2006/07,,West Indies,Pakistan,field,Pakistan,BG Jerling,BF Bowden,SJA Taufel,Sabina Park,West Indies,54.0,,2007
St Kitts,ICC World Cup,2007/03/14,247458,male,2.0,J Srinath,,True,,RT Ponting,MR Benson,2006/07,,Australia,Scotland,field,Scotland,AL Hill,SA Bucknor,EAR de Silva,Warner Park,Australia,203.0,,2007
Trinidad,ICC World Cup,2007/03/15,247460,male,4.0,JJ Crowe,,True,,DPMD Jayawardene,SJ Davis,2006/07,,Bermuda,Sri Lanka,bat,Sri Lanka,Aleem Dar,DJ Harper,IL Howell,Queen's Park Oval,Sri Lanka,243.0,,2007
Jamaica,ICC World Cup,2007/03/15,247461,male,5.0,RS Mahanama,,True,tie,JP Bray,SJA Taufel,2006/07,,Ireland,Zimbabwe,field,Zimbabwe,BF Bowden,IJ Gould,BG Jerling,Sabina Park,,,,2007
St Kitts,ICC World Cup,2007/03/16,247462,male,7.0,RS Madugalle,,True,,HH Gibbs,EAR de Silva,2006/07,,Netherlands,South Africa,field,Netherlands,SA Bucknor,MR Benson,AL Hill,Warner Park,South Africa,221.0,,2007
St Lucia,ICC World Cup,2007/03/16,247463,male,6.0,MJ Procter,,True,,SB Styris,BR Doctrove,2006/07,,England,New Zealand,field,New Zealand,PD Parker,Asad Rauf,RE Koertzen,Beausejour Stadium,New Zealand,,6.0,2007
Trinidad,ICC World Cup,2007/03/17,247464,male,8.0,AG Hurst,,True,,Mashrafe Mortaza,DJ Harper,2006/07,,Bangladesh,India,bat,India,IL Howell,Aleem Dar,SJ Davis,Queen's Park Oval,Bangladesh,,5.0,2007
Jamaica,ICC World Cup,2007/03/17,247465,male,9.0,BC Broad,D/L,True,,NJ O'Brien,IJ Gould,2006/07,,Ireland,Pakistan,field,Ireland,SJA Taufel,BF Bowden,BG Jerling,Sabina Park,Ireland,,3.0,2007
St Kitts,ICC World Cup,2007/03/18,247466,male,10.0,J Srinath,,True,,BJ Hodge,MR Benson,2006/07,,Australia,Netherlands,bat,Australia,EAR de Silva,SA Bucknor,AL Hill,Warner Park,Australia,229.0,,2007
St Lucia,ICC World Cup,2007/03/18,247467,male,11.0,JJ Crowe,,True,,PD Collingwood,RE Koertzen,2006/07,,Canada,England,field,Canada,Asad Rauf,BR Doctrove,PD Parker,Beausejour Stadium,England,51.0,,2007
Trinidad,ICC World Cup,2007/03/19,247468,male,12.0,AG Hurst,,True,,V Sehwag,SJ Davis,2006/07,,Bermuda,India,field,Bermuda,DJ Harper,Aleem Dar,IL Howell,Queen's Park Oval,India,257.0,,2007
Jamaica,ICC World Cup,2007/03/19,247469,male,13.0,RS Mahanama,,,,SC Williams,BG Jerling,2006/07,,West Indies,Zimbabwe,field,West Indies,BF Bowden,IJ Gould,SJA Taufel,Sabina Park,West Indies,,6.0,2007
St Kitts,ICC World Cup,2007/03/20,247470,male,15.0,RS Madugalle,,True,,GC Smith,AL Hill,2006/07,,Scotland,South Africa,field,South Africa,SA Bucknor,MR Benson,EAR de Silva,Warner Park,South Africa,,7.0,2007
St Lucia,ICC World Cup,2007/03/20,247471,male,14.0,MJ Procter,,True,,LRPL Taylor,Asad Rauf,2006/07,,Kenya,New Zealand,field,Kenya,PD Parker,BR Doctrove,RE Koertzen,Beausejour Stadium,New Zealand,148.0,,2007
Trinidad,ICC World Cup,2007/03/21,247472,male,16.0,JJ Crowe,D/L,True,,ST Jayasuriya,Aleem Dar,2006/07,,Bangladesh,Sri Lanka,field,Bangladesh,IL Howell,SJ Davis,DJ Harper,Queen's Park Oval,Sri Lanka,198.0,,2007
Jamaica,ICC World Cup,2007/03/21,247473,male,17.0,BC Broad,D/L,True,,Imran Nazir,BF Bowden,2006/07,,Pakistan,Zimbabwe,field,Zimbabwe,IJ Gould,BG Jerling,SJA Taufel,Sabina Park,Pakistan,93.0,,2007
St Kitts,ICC World Cup,2007/03/22,247474,male,19.0,J Srinath,,True,,WF Stelling,SA Bucknor,2006/07,,Netherlands,Scotland,field,Netherlands,MR Benson,EAR de Silva,AL Hill,Warner Park,Netherlands,,8.0,2007
St Lucia,ICC World Cup,2007/03/22,247475,male,18.0,MJ Procter,,True,,L Vincent,PD Parker,2006/07,,Canada,New Zealand,field,Canada,RE Koertzen,Asad Rauf,BR Doctrove,Beausejour Stadium,New Zealand,114.0,,2007
Trinidad,ICC World Cup,2007/03/23,247476,male,20.0,JJ Crowe,,True,,M Muralitharan,IL Howell,2006/07,,India,Sri Lanka,field,India,SJ Davis,Aleem Dar,DJ Harper,Queen's Park Oval,Sri Lanka,69.0,,2007
Jamaica,ICC World Cup,2007/03/23,247477,male,21.0,RS Mahanama,D/L,,,S Chanderpaul,SJA Taufel,2006/07,,West Indies,Ireland,bat,Ireland,BG Jerling,BF Bowden,IJ Gould,Sabina Park,West Indies,,8.0,2007
St Kitts,ICC World Cup,2007/03/24,247478,male,22.0,RS Madugalle,,True,,ML Hayden,EAR de Silva,2006/07,,Australia,South Africa,field,South Africa,AL Hill,MR Benson,SA Bucknor,Warner Park,Australia,83.0,,2007
St Lucia,ICC World Cup,2007/03/24,247479,male,23.0,MJ Procter,,True,,EC Joyce,Asad Rauf,2006/07,,England,Kenya,bat,Kenya,BR Doctrove,RE Koertzen,PD Parker,Beausejour Stadium,England,,7.0,2007
Trinidad,ICC World Cup,2007/03/25,247480,male,24.0,AG Hurst,D/L,True,,Mohammad Ashraful,DJ Harper,2006/07,,Bangladesh,Bermuda,field,Bangladesh,Aleem Dar,SJ Davis,IL Howell,Queen's Park Oval,Bangladesh,,7.0,2007
Antigua,ICC World Cup,2007/03/27,247481,male,25.0,BC Broad,,,,ML Hayden,RE Koertzen,2006/07,,West Indies,Australia,field,West Indies,BF Bowden,Aleem Dar,Asad Rauf,Sir Vivian Richards Stadium,Australia,103.0,,2007
Guyana,ICC World Cup,2007/03/28,247482,male,26.0,JJ Crowe,,True,,SL Malinga,SJA Taufel,2006/07,,South Africa,Sri Lanka,bat,Sri Lanka,MR Benson,SA Bucknor,DJ Harper,Providence Stadium,South Africa,,1.0,2007
Antigua,ICC World Cup,2007/03/29,247483,male,27.0,MJ Procter,,,,JDP Oram,BF Bowden,2006/07,,West Indies,New Zealand,field,New Zealand,Aleem Dar,Asad Rauf,RE Koertzen,Sir Vivian Richards Stadium,New Zealand,,7.0,2007
Guyana,ICC World Cup,2007/03/30,247484,male,28.0,RS Madugalle,,True,,PD Collingwood,SA Bucknor,2006/07,,England,Ireland,bat,England,DJ Harper,BR Doctrove,SJA Taufel,Providence Stadium,England,48.0,,2007
Antigua,ICC World Cup,2007/03/31,247485,male,29.0,BC Broad,,True,,GD McGrath,Asad Rauf,2006/07,,Australia,Bangladesh,field,Australia,RE Koertzen,Aleem Dar,BF Bowden,Sir Vivian Richards Stadium,Australia,,10.0,2007
Guyana,ICC World Cup,2007/04/01,247486,male,30.0,JJ Crowe,,,,ST Jayasuriya,SA Bucknor,2006/07,,West Indies,Sri Lanka,field,West Indies,SJA Taufel,MR Benson,DJ Harper,Providence Stadium,Sri Lanka,113.0,,2007
Antigua,ICC World Cup,2007/04/02,247487,male,31.0,MJ Procter,,True,,SE Bond,BF Bowden,2006/07,,Bangladesh,New Zealand,field,New Zealand,Asad Rauf,Aleem Dar,RE Koertzen,Sir Vivian Richards Stadium,New Zealand,,9.0,2007
Guyana,ICC World Cup,2007/04/03,247488,male,32.0,RS Madugalle,D/L,True,,JH Kallis,BR Doctrove,2006/07,,Ireland,South Africa,field,South Africa,MR Benson,DJ Harper,SJA Taufel,Providence Stadium,South Africa,,7.0,2007
Antigua,ICC World Cup,2007/04/04,247489,male,33.0,JJ Crowe,,True,,RS Bopara,Aleem Dar,2006/07,,England,Sri Lanka,field,England,RE Koertzen,Asad Rauf,BF Bowden,Sir Vivian Richards Stadium,Sri Lanka,2.0,,2007
Guyana,ICC World Cup,2007/04/07,247490,male,34.0,BC Broad,,True,,Mohammad Ashraful,DJ Harper,2006/07,,Bangladesh,South Africa,field,South Africa,SA Bucknor,MR Benson,BR Doctrove,Providence Stadium,Bangladesh,67.0,,2007
Antigua,ICC World Cup,2007/04/08,247491,male,35.0,MJ Procter,,True,,SW Tait,NA Malcolm,2006/07,,Australia,England,bat,England,Asad Rauf,BF Bowden,RE Koertzen,Sir Vivian Richards Stadium,Australia,,7.0,2007
Guyana,ICC World Cup,2007/04/09,247492,male,36.0,RS Madugalle,,True,,PG Fulton,GE Greaves,2006/07,,Ireland,New Zealand,bat,New Zealand,BR Doctrove,SA Bucknor,SJA Taufel,Providence Stadium,New Zealand,129.0,,2007
Grenada,ICC World Cup,2007/04/10,247493,male,37.0,BC Broad,,,,AB de Villiers,Asad Rauf,2006/07,,West Indies,South Africa,field,West Indies,Aleem Dar,MR Benson,DJ Harper,National Cricket Stadium,South Africa,67.0,,2007
Barbados,ICC World Cup,2007/04/11,247494,male,38.0,JJ Crowe,,True,,SI Mahmood,BF Bowden,2006/07,,Bangladesh,England,field,England,RE Koertzen,SA Bucknor,SJA Taufel,Kensington Oval,England,,4.0,2007
Grenada,ICC World Cup,2007/04/12,247495,male,39.0,MJ Procter,,True,,WPUJC Vaas,MR Benson,2006/07,,New Zealand,Sri Lanka,bat,New Zealand,Aleem Dar,Asad Rauf,BR Doctrove,National Cricket Stadium,Sri Lanka,,6.0,2007
Barbados,ICC World Cup,2007/04/13,247496,male,40.0,RS Madugalle,,True,,GD McGrath,SJA Taufel,2006/07,,Australia,Ireland,field,Australia,SA Bucknor,BF Bowden,RE Koertzen,Kensington Oval,Australia,,9.0,2007
Grenada,ICC World Cup,2007/04/14,247497,male,41.0,BC Broad,,True,,CD McMillan,Asad Rauf,2006/07,,New Zealand,South Africa,field,New Zealand,BR Doctrove,MR Benson,DJ Harper,National Cricket Stadium,New Zealand,,5.0,2007
Barbados,ICC World Cup,2007/04/15,247498,male,42.0,JJ Crowe,,True,,WTS Porterfield,RE Koertzen,2006/07,,Bangladesh,Ireland,bat,Ireland,SJA Taufel,BF Bowden,SA Bucknor,Kensington Oval,Ireland,74.0,,2007
Grenada,ICC World Cup,2007/04/16,247499,male,43.0,MJ Procter,,True,,NW Bracken,DJ Harper,2006/07,,Australia,Sri Lanka,bat,Sri Lanka,MR Benson,Aleem Dar,BR Doctrove,National Cricket Stadium,Australia,,7.0,2007
Barbados,ICC World Cup,2007/04/17,247500,male,44.0,RS Madugalle,,True,,AJ Hall,RE Koertzen,2006/07,,England,South Africa,bat,England,BF Bowden,SA Bucknor,SJA Taufel,Kensington Oval,South Africa,,9.0,2007
Grenada,ICC World Cup,2007/04/18,247501,male,45.0,BC Broad,,True,,MF Maharoof,Aleem Dar,2006/07,,Ireland,Sri Lanka,field,Sri Lanka,DJ Harper,MR Benson,BR Doctrove,National Cricket Stadium,Sri Lanka,,8.0,2007
Barbados,ICC World Cup,2007/04/19,247502,male,46.0,JJ Crowe,,,,RR Sarwan,SA Bucknor,2006/07,,West Indies,Bangladesh,field,Bangladesh,SJA Taufel,BF Bowden,RE Koertzen,Kensington Oval,West Indies,99.0,,2007
Grenada,ICC World Cup,2007/04/20,247503,male,47.0,MJ Procter,,True,,ML Hayden,DJ Harper,2006/07,,Australia,New Zealand,bat,Australia,BR Doctrove,Aleem Dar,Asad Rauf,National Cricket Stadium,Australia,215.0,,2007
Barbados,ICC World Cup,2007/04/21,247504,male,48.0,RS Madugalle,,,,KP Pietersen,SA Bucknor,2006/07,,West Indies,England,field,England,BF Bowden,RE Koertzen,SJA Taufel,Kensington Oval,England,,1.0,2007
Jamaica,ICC World Cup,2007/04/24,247505,male,,MJ Procter,,True,,DPMD Jayawardene,Asad Rauf,2006/07,,New Zealand,Sri Lanka,bat,Sri Lanka,DJ Harper,RE Koertzen,SJA Taufel,Sabina Park,Sri Lanka,81.0,,2007
